epoch,val_loss,val_dice,val_iou,val_precision,val_recall
5,0.6129,0.2232,0.4109,0.5333,0.6428
6,0.598,0.2372,0.4102,0.5253,0.6537
7,0.5904,0.2418,0.4402,0.5787,0.649
8,0.5839,0.2447,0.452,0.6109,0.6359
9,0.5722,0.2605,0.4609,0.5796,0.6935
10,0.5658,0.2672,0.4729,0.5968,0.6959
11,0.5548,0.2747,0.4875,0.6121,0.7065
12,0.5479,0.2771,0.4876,0.6136,0.705
13,0.5456,0.2786,0.4857,0.6164,0.6973
14,0.5427,0.2718,0.4768,0.6427,0.6501
15,0.5341,0.2862,0.4739,0.5957,0.6998
16,0.5359,0.2849,0.4679,0.6011,0.68
1,0.6884,0.125,0.0039,0.1634,0.0039
2,0.6315,0.1634,0.1042,0.4914,0.1188
3,0.5869,0.2396,0.3906,0.6606,0.4891
4,0.5571,0.2668,0.4097,0.6094,0.5567
5,0.5449,0.2832,0.4331,0.6399,0.5733
6,0.5298,0.2992,0.4597,0.6265,0.634
7,0.5363,0.3089,0.4524,0.59,0.6589
8,0.528,0.2877,0.4367,0.6553,0.5678
9,0.5259,0.2904,0.4471,0.718,0.5437
10,0.5182,0.3063,0.4717,0.6652,0.62
11,0.5233,0.3096,0.4742,0.6869,0.6063
12,0.5085,0.3181,0.4868,0.667,0.6441
13,0.5142,0.3177,0.4807,0.6528,0.6471
14,0.5069,0.3103,0.4635,0.6644,0.6066
15,0.5057,0.3226,0.4942,0.6636,0.6607
16,0.5022,0.305,0.4576,0.6582,0.601
17,0.5127,0.3347,0.5222,0.6699,0.7038
18,0.504,0.3303,0.5044,0.6469,0.6968
19,0.5057,0.3206,0.491,0.6683,0.6505
20,0.4982,0.3224,0.4806,0.6651,0.6351
1,0.693,0.1153,0.001,0.0595,0.001
2,0.6439,0.1528,0.1048,0.359,0.1294
3,0.6141,0.1941,0.3283,0.5688,0.4429
4,0.5814,0.2723,0.4454,0.6129,0.6209
5,0.5644,0.2333,0.3359,0.5651,0.4535
6,0.5339,0.266,0.3906,0.6421,0.4998
7,0.5407,0.2879,0.4291,0.6509,0.5574
8,0.5368,0.2973,0.4628,0.6865,0.5871
9,0.5205,0.2715,0.4141,0.6836,0.5128
10,0.5385,0.2931,0.4521,0.6758,0.5784
11,0.5218,0.3017,0.4625,0.6746,0.5962
12,0.5162,0.3291,0.51,0.6548,0.6981
13,0.513,0.3043,0.4594,0.6494,0.6117
14,0.5114,0.3274,0.5109,0.6896,0.6644
15,0.5025,0.3032,0.4345,0.5856,0.6278
16,0.5055,0.3234,0.5131,0.7089,0.6509
17,0.5138,0.3129,0.4715,0.6288,0.6541
18,0.5189,0.3175,0.4836,0.6633,0.6418
19,0.5116,0.3213,0.4823,0.6221,0.6828
20,0.5051,0.3209,0.4896,0.6705,0.6456
